Pertanyaan,JawabA,JawabB,JawabC,JawabD,Kunci,NamaGambar
[Partikel] Tomodachi __ hon o moraimashita. (Menerima buku DARI teman).,ni / kara,o,de,e,0,
[Partikel] Imouto ni hon __ yarimashita. (Memberikan buku KEPADA adik).,o,ni,ga,wa,0,
[Partikel] Mon __ mae ni kuruma ga tomatte imasu. (Di depan gerbang).,no,ga,wa,ni,0,
[Partikel] Hana __ mizu o yarimasu. (Menyiram air KE bunga).,ni,o,de,ga,0,
[Grammar] Sakana wa neko ni... (Ikan dimakan kucing - Pasif).,Tabemasu,Taberaremasu,Tabesasemasu,Tabete,1,
[Grammar] Watashi wa otouto ni hon o... (Saya menyuruh adik membaca buku - Kausatif).,Yomimasu,Yomasemasu,Yomaremasu,Yonde,1,
"[Grammar] Ame ni... (Kehujanan - Pasif ""Menderita"").",Furimashita,Furaremashita,Futte,Furasemashita,1,
"[Bacaan] ""Nihon-go"" (Bahasa Jepang) menggunakan Kanji...",本,木,休,体,0,
"[Bacaan] ""Hon-jitsu"" (Hari ini - Formal) menggunakan Kanji...",本,木,元,大,0,
"[Konteks] Kanji yang memiliki elemen ""Api"" (Rekk’a - 4 titik di bawah) adalah...",魚,鳥,馬,雨,0,
[Partikel] Basu __ norimasu. (Naik bus).,ni,o,de,ga,0,
[Partikel] Basu __ orimasu. (Turun dari bus).,o,ni,de,ga,0,
[Partikel] Hasami (Gunting) __ kami o kirimasu. (Memotong kertas DENGAN gunting).,de,ni,o,ga,0,
[Partikel] Hito __ hanashimasu. (Berbicara DENGAN orang).,to,o,ga,wa,0,
"[Bacaan] ""Kaji"" (Kebakaran) ditulis dengan Kanji...",火事,火時,火地,火自,0,
"[Bacaan] ""Kabin"" (Vas bunga) dimulai dengan Kanji...",花,火,華,課,0,
"[Bacaan] ""Yama-nobori"" artinya...",Mendaki gunung,Melihat gunung,Menuruni gunung,Menggambar gunung,0,
[Partikel] Watashi no uchi wa eki __ chikai desu. (Rumah saya dekat DENGAN stasiun).,ni,de,to,kara,0,
[Partikel] Gakkou __ ikimasu. (Pergi KE sekolah).,e / ni,de,o,ga,0,
"[Logika] Jika ""Kuruma"" (Mobil) kehabisan ""Gasorin"", maka mobil itu...",Ugokimasen,Hashirimasu,Tomarimasen,Tobimasu,0,
[Konteks] Yang bukan makhluk hidup di bawah ini adalah...,山,魚,猫,人,0,
"[Bacaan] ""Amagumo"" (Awan mendung) dimulai dengan Kanji...",雨,天,甘,海,0,
"[Bacaan] ""Sui-ei"" (Berenang) dimulai dengan Kanji...",水,氷,永,泳,0,
[Partikel] Sakana __ umi ni imasu. (Ikan ada DI laut).,wa,o,e,to,0,
[Partikel] Neko __ sakana o nusumimashita. (Kucing mencuri ikan).,ga,ni,o,de,0,
[Grammar] Hon o __ kudasai. (Tolong bacakan bukunya).,Yonde,Yomite,Yote,Yonte,0,
[Grammar] Kuruma o __ koto ga dekimasu ka. (Bisakah menyetir mobil?).,Unten suru,Noru,Kau,Uru,0,
"[Bacaan] ""Seikatsu"" (Kehidupan) tidak menggunakan kanji list, tapi ""Katsu"" mirip...",活 (mirip Mizu),話,括,闊,0,
"[Visual] Kanji yang bentuk aslinya berasal dari gambar ""Gerbang dua daun"" adalah...",門,田,口,用,0,
[Visual] Kanji yang bentuknya seperti tulang ikan adalah...,魚,雨,木,本,0,
[Partikel] Hana __ kirei ni sakimashita. (Bunga mekar DENGAN indah).,ga,wa,o,de,0,
[Partikel] Yama no ue __ samui desu. (DI atas gunung dingin).,wa,ni,o,de,0,
"[Logika] ""Hon-tana"" artinya...",Rak buku,Sampul buku,Penulis buku,Harga buku,0,
"[Partikel] Ame __ furu to, michi ga waruku narimasu. (KALAU hujan turun...).",ga,wa,o,ni,0,
"[Grammar] ""Mizu o nomasete kudasai"" artinya...",Tolong biarkan saya minum air,Tolong minum air ini,Saya ingin minum air,Jangan minum air,0,
"[Bacaan] ""Kousui"" (Parfum - Air Wangi) diakhiri dengan Kanji...",水,氷,永,泳,0,
"[Bacaan] ""San-rin-sha"" (Roda tiga) diakhiri dengan Kanji...",車,者,社,写,0,
[Partikel] Densha __ norikaemasu. (Ganti kereta / Transfer).,ni,o,de,ga,0,
"[Partikel] Michi __ aruki-nagara, hon o yomimasu. (Membaca buku SAMBIL berjalan di jalan).",o,ni,de,ga,0,
"[Konteks] ""Kingyo"" (Ikan Mas) ditulis dengan Kanji Emas dan...",魚,漁,ギョ,ぎょ,0,
[Partikel] Watashi __ anata __ suki desu. (Saya suka kamu).,wa / ga,ga / wa,no / ga,ni / o,0,
[Partikel] Neko __ kowai desu. (Takut PADA kucing).,ga,ni,wa,o,0,
[Grammar] Kuruma ga __ imasu. (Mobilnya sedang berhenti).,Tomatte,Yande,Tatte,Matte,0,
[Logika] Manakah urutan elemen dari bawah ke atas?,Mizu - Ki - Hana,Hana - Ki - Mizu,Ki - Mizu - Hana,Mizu - Hana - Ki,0,
"[Partikel] Mon __ dete, hidari e magarimasu. (Keluar DARI gerbang).",o,ni,de,ga,0,
"[Bacaan] ""Sen-mon"" (Keahlian/Spesialisasi) diakhiri dengan Kanji...",門,問,聞,間,0,
"[Bacaan] ""Ninki"" (Populer) dimulai dengan Kanji...",人,入,任,認,0,
[Partikel] Ano hito __ shiritai desu. (Ingin tahu TENTANG orang itu).,no koto ga,ga,o,ni,0,
[Grammar] Hon o __ shimaimashita. (Tidak sengaja / Selesai membaca buku).,Yonde,Yomimashita,Yonda,Yomanai,0,
[Partikel] Kono kuruma wa kalsya __ mono desu. (Mobil ini MILIK perusahaan).,no,ni,de,ga,0,
[Partikel] Ame __ yamanai deshou. (Hujan MUNGKIN tidak akan berhenti).,wa,ga,o,ni,0,
"[Logika] ""Hitogomi"" (Kerumunan) pasti melibatkan banyak...",人,車,猫,魚,0,
"[Konteks] Saat terjadi gempa, jangan gunakan...",Erebeetaa (Lift),Kaidan (Tangga),Tsukue (Meja),Doa (Pintu),0,
[Partikel] Yama __ mukatte sakebimasu. (Berteriak MENGHADAP gunung).,ni,o,de,ga,0,
"[Bacaan] ""Yama-biko"" (Gema gunung) dimulai dengan Kanji...",山,川,谷,田,0,
[Grammar] Hana o __ ikemasen. (TIDAK BOLEH memetik bunga).,Totte wa,Totte mo,Toreba,Toru to,0,
[Grammar] Koko ni kuruma o __ kudasai. (JANGAN hentikan mobil di sini).,Tomenaide,Tomete,Tomeru na,Tomemasu,0,
"[Bacaan] ""Amado"" (Pintu penutup hujan) dimulai dengan Kanji...",雨,天,甘,余,0,
[Partikel] Sakana __ ryouri shimasu. (Memasak ikan - sebagai bahan).,o,ni,de,ga,0,
[Grammar] Neko ga __ sou desu. (Sepertinya kucingnya AKAN mati).,Shini,Shinu,Shinda,Shinai,0,
"[Konteks] ""Yamagoya"" (Pondok gunung) ada di...",Yama,Umi,Machi,Kawa,0,
[Partikel] Hon __ kaban ni iremasu. (Memasukkan buku KE DALAM tas).,o,ga,wa,de,0,
[Partikel] Hi __ ki o tsukete. (Berhati-hatilah TERHADAP api).,ni,o,de,ga,0,
"[Logika] Untuk memadamkan ""Hi"" (Api), kita biasanya menggunakan...",Mizu,Ki,Kami,Abura,0,
[Grammar] Mon ga __ imasu. (Gerbangnya DALAM KEADAAN tertutup).,Shimatte,Shimete,Shimarimasu,Shimemasu,0,
