Pertanyaan,JawabA,JawabB,JawabC,JawabD,Kunci,NamaGambar
"[Gabungan] ""Hanabi"" (kembang api) menggunakan Kanji ""Hana"" dan...",水 (Mizu),火 (Hi),木 (Ki),山 (Yama),1,
[Konteks] Benda yang memiliki roda adalah...,門,本,車,木,2,
[Bacaan] __ no ue ni neko ga imasu. (Di atas mobil ada kucing),車 (Kuruma),電車 (Densha),東 (Higashi),本 (Hon),0,
[Kalimat] __ wa atsui desu. (Api itu panas),水 (Mizu),雨 (Ame),火 (Hi),山 (Yama),2,
[Partikel] Sakana __ tabemasu. (Makan ikan),ga,wa,ni,wo,3,
[Kalimat] __ ga takusan saite imasu. (Banyak bunga sedang mekar),花 (Hana),木 (Ki),草 (Kusa),雨 (Ame),0,
[Bacaan] Ano __ wa dare desu ka. (Siapakah orang itu?),人 (Hito),仁 (Jin),入 (Hai),大 (Dai),0,
"[Konjugasi] Kata ""Kimasu"" (datang) lawan katanya ""Ikimasu"" (pergi). Objek ""Gunung"" cocok dengan partikel...",wo,ni/e,de,to,1,
"[Konteks] Saat hujan turun (雨), kita membutuhkan...",Kasa (Payung),Kutsu (Sepatu),Hon (Buku),Mizu (Air),0,
[Kalimat] Toshokan ni __ ga takusan arimasu. (Di perpustakaan ada banyak buku),花,魚,本,猫,2,
"[Bacaan] Kanji ""Sui"" dalam ""Suiyoubi"" (Rabu) adalah...",木,金,土,水,3,
"[Bacaan] Kanji ""Moku"" dalam ""Mokuyoubi"" (Kamis) adalah...",木,本,水,火,0,
"[Kalimat] __ ga naitewa ikemasen. (Orang tidak boleh menangis - kurang tepat, lebih ke konteks umum) -> Kore wa __ no e desu. (Ini gambar orang)",山,魚,人,花,2,
[Partikel] Mizu __ nomitai desu. (Ingin minum air),ga,de,ni,to,0,
[Konteks] Hewan manakah yang biasanya mengejar tikus?,魚 (Sakana),猫 (Neko),鳥 (Tori),犬 (Inu),1,
[Kalimat] __ no mae de machimasu. (Menunggu di depan gerbang),門 (Mon),山 (Yama),川 (Kawa),本 (Hon),0,
"[Bacaan] ""Yamakawa-san"" adalah nama orang. Kanji pertamanya adalah...",花,雨,山,火,2,
[Kalimat] Kono __ wa totemo furui desu. (Pohon ini sangat tua),本,木,花,門,1,
[Konteks] Benda yang terbuat dari kertas adalah...,魚,車,本,水,2,
[Partikel] Yama __ noborimasu. (Mendaki gunung),de,wo,ni,to,2,
"[Kalimat] __ ga yameba, dekakemashou. (Kalau hujan berhenti, ayo berangkat)",雨 (Ame),雪 (Yuki),風 (Kaze),水 (Mizu),0,
"[Bacaan] ""Nihon"" (Jepang) ditulis dengan Kanji Matahari dan...",木,人,本,山,2,
"[Bacaan] ""Nihonjin"" (Orang Jepang) diakhiri dengan Kanji...",人,入,大,犬,0,
[Kalimat] Watashi no __ wa kuroi desu. (Mobil saya berwarna hitam),本,門,車,山,2,
[Konteks] Sesuatu yang berbahaya jika disentuh langsung adalah...,水 (Mizu),雨 (Ame),火 (Hi),花 (Hana),2,
[Kalimat] Ikebana adalah seni merangkai...,魚,花,木,本,1,
[Partikel] Hana __ kirei desu. (Bunganya cantik - Subjek),wa,wo,de,ni,0,
"[Bacaan] ""Suisha"" (Kincir Air) terdiri dari Kanji Air dan...",木,門,山,車,3,
[Konteks] Yang bisa berenang adalah...,猫 (Neko),魚 (Sakana),木 (Ki),本 (Hon),1,
[Kalimat] __ o mimasu. (Melihat bunga / Hanami),花 (Hana),鼻 (Hana-hidung),耳 (Mimi),目 (Me),0,
"[Bacaan] ""Kazan"" (Gunung Berapi) terdiri dari Kanji Api dan...",山,川,田,土,0,
[Kalimat] Soko ni __ ga imasu ka. (Apakah ada orang di sana?),本,人,木,門,1,
[Partikel] Ame __ furimasu. (Hujan turun),wa,ga,wo,ni,1,
[Konteks] Alat transportasi di bawah ini adalah...,山,門,車,魚,2,
[Kalimat] __ o kashite kudasai. (Pinjamkan bukunya),本 (Hon),木 (Ki),水 (Mizu),火 (Hi),0,
"[Bacaan] ""Mokuzai"" (Bahan kayu) dimulai dengan Kanji...",本,林,森,木,3,
[Kalimat] __ de te o araimasu. (Mencuci tangan dengan air),火,水,土,金,1,
[Konteks] Yang memiliki daun dan batang keras adalah...,花,草,木,山,2,
[Kalimat] __ no sewa o shimasu. (Merawat kucing),魚,鳥,猫,人,2,
[Partikel] Mon __ demasu. (Keluar dari gerbang),ni,wo,de,to,1,
[Kalimat] Campfire menggunakan elemen...,水,雨,火,魚,2,
"[Bacaan] ""Jinkou"" (Populasi) dimulai dengan Kanji...",入,大,人,木,2,
[Konteks] Fujisan adalah nama sebuah...,川,山,花,門,1,
[Kalimat] Kono __ wa omoshiroi desu. (Buku ini menarik),本,車,門,木,0,
[Partikel] Sakana __ suki desu ka. (Apakah suka ikan?),ga,wo,de,ni,0,
"[Bacaan] ""Ningyou"" (Boneka) dimulai dengan Kanji...",人,猫,魚,女,0,
[Kalimat] __ ni hairimasu. (Masuk ke air/mandi berendam),火,木,水,土,2,
[Konteks] Benda yang memisahkan bagian dalam dan luar rumah/halaman...,門 (Mon),車 (Kuruma),本 (Hon),山 (Yama),0,
[Kalimat] __ ga naku narimashita. (Kucingnya hilang/meninggal),猫,魚,木,花,0,
"[Bacaan] ""Hanaya"" (Toko Bunga) dimulai dengan Kanji...",木,花,草,竹,1,
[Kalimat] __ ga kaji desu! (Ada kebakaran! / Api!),水,雨,火,山,2,
[Partikel] Kuruma __ kaimashita. (Membeli mobil - Objek),wa,wo,ni,ga,1,
[Konjungsi] Yama __ Kawa (Gunung dan Sungai),to,de,ni,wo,0,
[Kalimat] __ ga tsuyoi desu. (Hujannya deras/kuat),雨,水,火,花,0,
[Konteks] Mana yang merupakan makhluk hidup?,車,本,門,猫,3,
"[Bacaan] ""Yamamichi"" (Jalan pegunungan) dimulai dengan Kanji...",川,田,山,石,2,
