Pertanyaan,JawabA,JawabB,JawabC,JawabD,Kunci,NamaGambar
"Bahasa Jepang dari angka ""Lima"" adalah...",Yon,Go,Roku,Nana,1,
"Bahasa Jepang dari angka ""Sepuluh"" adalah...",Hachi,Kyuu,Juu,Hyaku,2,
"Apa arti dari kata ""Tomodachi""?",Musuh,Keluarga,Teman,Tetangga,2,
"""Sayounara"" diucapkan ketika...",Bertemu,Berpisah,Makan,Tidur,1,
"Apa arti kata ""Hai"" (はい)?",Tidak,Ya,Mungkin,Siapa,1,
"Apa arti kata ""Iie"" (いいえ)?",Ya,Tidak,Halo,Maaf,1,
"""Kore wa nan desu ka"" artinya...",Ini apa?,Itu apa?,Siapa itu?,Di mana ini?,0,
"Kata tunjuk ""Sore"" (それ) berarti...",Ini (dekat pembicara),Itu (dekat lawan bicara),Itu (jauh),Di mana,1,
"""Doko"" (どこ) digunakan untuk menanyakan...",Waktu,Orang,Tempat,Alasan,2,
"Apa bahasa Jepangnya ""Maaf""?",Arigatou,Gomennasai,Omedetou,Itadakimasu,1,
"Kata kerja ""Nomimasu"" (のみます) berarti...",Makan,Minum,Tidur,Baca,1,
"Kata kerja ""Kakimasu"" (かきます) berarti...",Menulis,Membaca,Mendengar,Bicara,0,
"Kata kerja ""Yomimasu"" (よみます) berarti...",Menulis,Membaca,Melihat,Membeli,1,
"Kata kerja ""Kikimasu"" (ききます) berarti...",Bertanya,Mendengar,Melihat,Berjalan,1,
"""Kaimasu"" (かいます) artinya...",Menjual,Membeli,Membayar,Meminta,1,
"Warna ""Aka"" (あか) dalam bahasa Indonesia adalah...",Biru,Merah,Kuning,Hijau,1,
"Warna ""Shiro"" (しろ) berarti...",Hitam,Putih,Abu-abu,Cokelat,1,
"Warna ""Kuro"" (くろ) berarti...",Hitam,Putih,Merah,Biru,0,
"Apa arti kata ""Kyou"" (きょう)?",Besok,Kemarin,Hari ini,Lusa,2,
"Apa arti kata ""Ashita"" (あした)?",Hari ini,Besok,Kemarin,Pagi,1,
"""Asa"" (あさ) berarti waktu...",Pagi,Siang,Sore,Malam,0,
"""Yoru"" (よる) berarti waktu...",Pagi,Siang,Sore,Malam,3,
"Partikel ""No"" (の) biasanya menunjukkan...",Tujuan,Kepemilikan,Tempat,Subjek,1,
"Partikel ""Ka"" (か) di akhir kalimat berfungsi sebagai...",Tanda seru,Tanda tanya,Tanda koma,Tanda kutip,1,
"Apa arti kata ""Nihon"" (日本)?",China,Korea,Jepang,Indonesia,2,
"Kata ""Namae"" (なまえ) berarti...",Nama,Alamat,Umur,Hobi,0,
"Apa bahasa Jepangnya ""Uang""?",Okane,Kaban,Kutsu,Megane,0,
"Kata ""Kawaii"" (かわいい) sering digunakan untuk memuji...",Rasa makanan,Keimutan/Lucu,Kecerdasan,Kekuatan,1,
"""Sugoi"" (すごい) berarti...",Biasa saja,Hebat/Keren,Buruk,Membosankan,1,
"Apa arti ""Genki desu ka""?",Siapa namamu?,Apa kabar?,Jam berapa?,Mau ke mana?,1,
"""Hajimemashite"" diucapkan saat...",Perpisahan,Awal perkenalan,Selesai makan,Sebelum tidur,1,
"Kanji manakah yang dibaca ""Mizu""?",火,水,木,金,1,
"Kanji ""魚"" dibaca sebagai...",Sakana,Neko,Inu,Tori,0,
"Jika ingin masuk rumah, kita melewati Kanji...",木,門,車,山,1,
"Hewan yang menggunakan Kanji ""猫"" bersuara...",Guk guk,Mbek,Nyan nyan,Kukuruyuk,2,
